说明：字符位置11-16为气压，19-23为高度，26-31为气温，34-38为湿度，48-50为风向，53-57为风速，
55 3419.001003.110   5000  26.710 73.509999.90 11710  8.110999  999.9  99999  9.999  
55 3419.00 242.8121120000 -42.310 15.409999.90 09210  6.810999  999.9  99999  9.999  
55 3419.00 241.1121125000 -42.710 15.509999.90 09410  6.910999  999.9  99999  9.999  
55 3419.00 239.3121130000 -43.110 15.709999.90 09610  7.210999  999.9  99999  9.999  
55 3419.00 237.5121135000 -43.310 15.809999.90 09510  7.610999  999.9  99999  9.999  
55 3419.00 235.8121140000 -43.710 15.709999.90 09510  7.710999  999.9  99999  9.999  
55 3419.00 234.0121145000 -44.110 15.709999.90 09610  7.710999  999.9  99999  9.999  
55 3419.00 232.3121150000 -44.510 15.609999.90 09810  7.610999  999.9  99999  9.999  
55 3419.00 230.6121155000 -44.910 15.409999.90 10110  7.510999  999.9  99999  9.999  
55 3419.00 228.9121160000 -45.310 15.209999.90 10410  7.110999  999.9  99999  9.999  
55 3419.00 227.2121165000 -45.810 15.209999.90 10710  5.910999  999.9  99999  9.999  
55 3419.00 225.5121170000 -46.310 15.109999.90 10910  5.210999  999.9  99999  9.999  
55 3419.00 223.8121175000 -46.710 15.109999.90 11110  4.610999  999.9  99999  9.999  
55 3419.00 222.1121180000 -47.110 15.209999.90 11610  4.210999  999.9  99999  9.999  
55 3419.00 220.5121185000 -47.510 15.309999.90 12210  4.110999  999.9  99999  9.999  
55 3419.00 218.8121190000 -47.810 15.209999.90 12110  4.110999  999.9  99999  9.999  
55 3419.00 217.2121195000 -48.110 15.209999.90 12310  4.110999  999.9  99999  9.999  
55 3419.00 215.5121200000 -48.610 15.209999.90 12310  4.110999  999.9  99999  9.999  
55 3419.00 213.9121205000 -49.010 15.109999.90 12210  4.410999  999.9  99999  9.999  
55 3419.00 212.3121210000 -49.310 15.009999.90 12210  4.610999  999.9  99999  9.999  
55 3419.00 210.7121215000 -49.710 14.909999.90 12110  4.810999  999.9  99999  9.999  
55 3419.00 209.1121220000 -50.212 14.809999.90 12010  5.210999  999.9  99999  9.999  
55 3419.00 207.5121225000 -50.712 14.909999.90 12110  5.510999  999.9  99999  9.999  
55 3419.00 205.9121230000 -51.112 15.109999.90 12110  5.810999  999.9  99999  9.999  
55 3419.00 204.4121235000 -51.612 15.209999.90 11910  6.210999  999.9  99999  9.999  
55 3419.00 202.8121240000 -52.112 15.509999.90 11910  6.510999  999.9  99999  9.999  
55 3419.00 201.2121245000 -52.612 15.809999.90 11810  6.610999  999.9  99999  9.999  
55 3419.00 199.7121250000 -53.112 16.209999.90 11410  6.610999  999.9  99999  9.999  
55 3419.00 198.2121255000 -53.512 16.809999.90 11110  6.510999  999.9  99999  9.999  
55 3419.00 196.6121260000 -53.912 17.209999.90 11010  6.410999  999.9  99999  9.999  
55 3419.00 195.1121265000 -54.312 17.709999.90 10810  6.310999  999.9  99999  9.999  
55 3419.00 193.6121270000 -54.812 18.209999.90 10610  6.310999  999.9  99999  9.999  
55 3419.00 192.1121275000 -55.212 18.709999.90 10510  6.410999  999.9  99999  9.999  
55 3419.00 190.6121280000 -55.512 19.009999.90 10110  6.310999  999.9  99999  9.999  
55 3419.00 189.1121285000 -55.912 19.109999.90 09710  6.510999  999.9  99999  9.999  
55 3419.00 187.7121290000 -56.312 19.409999.90 09410  6.710999  999.9  99999  9.999  
55 3419.00 186.2121295000 -56.812 19.809999.90 09210  6.810999  999.9  99999  9.999  
55 3419.00 184.7121300000 -57.312 20.109999.90 09010  6.810999  999.9  99999  9.999  
55 3419.00 183.3121305000 -57.812 20.409999.90 08910  7.010999  999.9  99999  9.999  
55 3419.00 181.9121310000 -58.212 20.609999.90 08810  7.110999  999.9  99999  9.999  
55 3419.00 180.4121315000 -58.712 20.909999.90 08710  7.310999  999.9  99999  9.999  
55 3419.00 179.0121320000 -59.212 21.209999.90 08610  7.310999  999.9  99999  9.999  
55 3419.00 177.6121325000 -59.612 21.409999.90 08410  7.010999  999.9  99999  9.999  
55 3419.00 176.2121330000 -60.012 21.809999.90 08010  7.010999  999.9  99999  9.999  
55 3419.00 174.8121335000 -60.512 22.109999.90 07810  7.010999  999.9  99999  9.999  
55 3419.00 173.4121340000 -60.912 22.409999.90 07510  6.910999  999.9  99999  9.999  
55 3419.00 172.0121345000 -61.412 22.809999.90 07110  7.110999  999.9  99999  9.999  
55 3419.00 170.6121350000 -61.812 23.209999.90 06810  7.410999  999.9  99999  9.999  
55 3419.00 169.3121355000 -62.312 23.709999.90 06710  7.710999  999.9  99999  9.999  
55 3419.00 167.9121360000 -62.712 24.209999.90 06710  8.110999  999.9  99999  9.999  
55 3419.00 166.6121365000 -63.112 24.609999.90 06710  8.410999  999.9  99999  9.999  
55 3419.00 165.2121370000 -63.612 25.009999.90 06810  8.710999  999.9  99999  9.999  
55 3419.00 163.9121375000 -64.112 25.409999.90 06910  9.210999  999.9  99999  9.999  
55 3419.00 162.6121380000 -64.512 25.909999.90 06910  9.410999  999.9  99999  9.999  
55 3419.00 161.2121385000 -65.012 26.509999.90 06810  9.510999  999.9  99999  9.999  
55 3419.00 159.9121390000 -65.412 26.809999.90 06710  9.610999  999.9  99999  9.999  
55 3419.00 158.6121395000 -65.912 27.309999.90 06510  9.910999  999.9  99999  9.999  
55 3419.00 157.3121400000 -66.412 27.609999.90 06410 10.210999  999.9  99999  9.999  
55 3419.00 156.0121405000 -66.912 28.009999.90 06410 10.510999  999.9  99999  9.999  
55 3419.00 154.8121410000 -67.412 28.609999.90 06210 10.910999  999.9  99999  9.999  
55 3419.00 153.5121415000 -67.912 29.109999.90 06010 11.110999  999.9  99999  9.999  
55 3419.00 152.2121420000 -68.312 29.709999.90 06010 11.010999  999.9  99999  9.999  
55 3419.00 151.0121425000 -68.812 30.209999.90 05910 10.710999  999.9  99999  9.999  
55 3419.00 149.7121430000 -69.212 30.809999.90 05610 10.610999  999.9  99999  9.999  
55 3419.00 148.5121435000 -69.712 31.109999.90 05510 10.510999  999.9  99999  9.999  
55 3419.00 147.2121440000 -70.112 31.609999.90 05510 10.510999  999.9  99999  9.999  
55 3419.00 146.0121445000 -70.512 32.109999.90 05510 10.710999  999.9  99999  9.999  
55 3419.00 144.8121450000 -70.812 32.409999.90 05510 11.110999  999.9  99999  9.999  
55 3419.00 143.6121455000 -70.912 32.409999.90 05510 12.010999  999.9  99999  9.999  
55 3419.00 142.4121460000 -71.212 32.709999.90 05510 12.710999  999.9  99999  9.999  
55 3419.00 141.2121465000 -71.512 33.009999.90 05510 13.410999  999.9  99999  9.999  
55 3419.00 140.0121470000 -71.912 33.509999.90 05510 14.210999  999.9  99999  9.999  
55 3419.00 138.8121475000 -72.412 34.009999.90 05510 14.910999  999.9  99999  9.999  
55 3419.00 137.7121480000 -72.812 34.409999.90 05610 15.310999  999.9  99999  9.999  
55 3419.00 136.5121485000 -73.212 34.609999.90 05710 15.610999  999.9  99999  9.999  
